username,text,date
Don't Be Like Mike,"@RuiRuibravo Por isso eles querem acabar com as PPPs, para controlar as vagas de assalto.",2019-05-16 07:13:25 UTC
pós banho pelada deitada na cama mexendo nocelular,chamei a giulia p queimar um e qndo fui ver a gente tava reagindo a um assalto bicho,2019-05-16 07:08:43 UTC
CAOS no RIO,🗞 Tentativa de assalto termina com um morto e dois presos na Praça Seca https://t.co/ddK9t76rZv,2019-05-16 07:01:26 UTC
....,"é um assalto, passa a piroca — Credo, que delicia kk
Brota https://t.co/CTRyyeUfve",2019-05-16 06:35:25 UTC
Carol Araujo,"@folha Qual poesia será recitada na hora do assalto?

🤔",2019-05-16 06:12:31 UTC
Indica Japão,"‘Me dê dinheiro, por favor’, voz de assalto na agência dos Correios https://t.co/0AWsbkThKy",2019-05-16 05:57:12 UTC
gabriel,@luvinghaus vc literalmente mando um desculpa a demora estava reagindo a um assalto eu fiquei perplexa,2019-05-16 05:44:37 UTC
genivaldo santos,Filósofa petista a favor do assalto sai do Brasil após um assalto https://t.co/fQfLr94Y7z,2019-05-16 05:39:49 UTC
Blog do Edson Alves,BLOG DO EDSON ALVES | A Sua Rede de Notícias: SUSPEITOS DE ASSALTO A BANCO NA BAHIA SÃO ACHADOS ... https://t.co/P62nMk0k5S,2019-05-16 05:37:12 UTC
gabe,reagi a um assalto massa agora,2019-05-16 05:36:24 UTC
julia,@_coloradaaa simmm!! vai lá reagir a um assalto a mao armada e depois conversamos p ver no q deu 👍,2019-05-16 05:33:09 UTC
Paranoid Android,"@Giovanni_Ferra Eu quero um casal de travestis defendendo seus pés de maconha com fuzis de assalto, mas n da pra ter td na vida né",2019-05-16 05:08:19 UTC
sementinha do mal,@Dudeexftd Demorooooo eu assalto tua cs pvt,2019-05-16 04:56:32 UTC
Flex 💥,"mas o bagulho foi tipo um assalto mesmo, agt veio de frente e teve o bom resultado que vai ser terminado com outros...",2019-05-16 04:50:52 UTC
thamiris,"""corre corre"" é assalto????? — nunca corri tanto na minha vida, fiquei tão ofegante https://t.co/dRHwSUAvXx",2019-05-16 04:47:37 UTC
Sra.patriota,@RJ_em_Alerta É assalto kkkkk éa esquerda bandida kkkkk,2019-05-16 04:46:21 UTC
nicotine ♏😈,@Celly_Maia Se eu faço isso aqui em Nilópolis eu sou parado mais de uma vez e depois o assalto vem kkk,2019-05-16 04:46:17 UTC
j22 🇨🇱,é só comparar nossas vidas nossos atos nós tem conta na Suíça e tu ainda tá fazendo assalto 🎶,2019-05-16 04:45:32 UTC
Suelyn Oliveira 🦋,"@sinhorifoto AKSKAKAKKAKA depois de um quase assalto de um suspeito de boné branco, era o mínimo umas fotos dessa né",2019-05-16 04:45:03 UTC
PB Hoje,Câmera flagra quando policial reage a suposto assalto e mata bandido em João Pessoa; assista https://t.co/XxCgvGSChH https://t.co/qVKrzFnRAB,2019-05-16 04:40:38 UTC
Adelton Alves,Câmera flagra quando policial reage a suposto assalto e mata bandido em João Pessoa; assista https://t.co/T8wqzhIjJo https://t.co/xulOSKIL2S,2019-05-16 04:40:37 UTC
Betini bro 777 skrr,Bora cometer um assalto,2019-05-16 04:37:33 UTC
BLACK MAGE ☔,Andar na vila agora na esperança de reagir a um assalto e tomar um tiro,2019-05-16 04:31:50 UTC
PORTALMIE,"‘Me dê dinheiro, por favor’, voz de assalto na agência dos Correios https://t.co/UhDrqFCNa6 https://t.co/nQtRohwC8f",2019-05-16 04:25:45 UTC
JOJOJOIA - JOELMA,"Soldado da PM reage a tentativa de assalto, leva tiro e mata suspeito; Veja vídeo https://t.co/pqF1Nec7Ua https://t.co/ugvF7uhNtr",2019-05-16 04:22:23 UTC
Portal do Litoral PB,"Soldado da PM reage a tentativa de assalto, leva tiro e mata suspeito; Veja vídeo https://t.co/bx3FTfiu9D https://t.co/LYOfJJVWR2",2019-05-16 04:22:21 UTC
teus,Ainda sigo sem acreditar que eu reagi a um assalto.,2019-05-16 04:18:38 UTC
Portal T5,"Vídeo: policial reage a suposto assalto e deixa suspeito morto, em João Pessoa https://t.co/Gz6GDJzQjF https://t.co/gzd0zBvpE9",2019-05-16 04:17:03 UTC
Jacarepaguá Notícias RJ,🚨 Tentativa de assalto termina com um morto e dois presos na Praça Seca - https://t.co/fBPEg4rA0r https://t.co/fBPEg4rA0r,2019-05-16 04:16:26 UTC
